year,month,day,crime_disorder,crime_robbery,crime_aggravated_assault,crime_burglary,crime_theft,crime_mv_theft,crime_gun,crime_violent,crime_property,crime_index,crime_disorder_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_theft_day,crime_mv_theft_day,crime_gun_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_theft_night,crime_mv_theft_night,crime_gun_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_theft_is_sunrise,crime_mv_theft_is_sunrise,crime_gun_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_theft_is_sunset,crime_mv_theft_is_sunset,crime_gun_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2014,10,2,78,2,5,20,77,6,0,7,103,110,41,0,2,11,51,3,0,2,65,67,31,2,2,9,17,3,0,4,29,33,1,0,1,0,1,0,0,1,1,2,5,0,0,0,8,0,0,0,8,8,324,3,19,-31,207,Austin
2015,10,2,83,4,4,12,94,2,1,8,108,116,41,0,0,10,52,2,0,0,64,64,38,3,4,2,29,0,0,7,31,38,0,0,0,0,1,0,0,0,1,1,4,1,0,0,12,0,1,1,12,13,316,2,22,-30,208,Austin
2016,10,2,87,7,6,14,88,7,3,13,109,122,40,2,2,5,37,4,2,4,46,50,37,4,3,7,44,3,1,7,54,61,1,0,0,1,0,0,0,0,1,1,9,1,1,1,7,0,0,2,8,10,309,2,23,-35,203,Austin
2017,10,2,82,2,7,15,76,7,1,9,98,107,35,0,0,9,58,3,0,0,70,70,41,1,7,5,15,4,1,8,24,32,1,0,0,0,0,0,0,0,0,0,5,1,0,1,3,0,0,1,4,5,299,3,14,-34,204,Austin
2018,10,2,75,1,5,7,70,10,2,6,87,93,32,0,2,7,36,6,1,2,49,51,36,1,1,0,26,3,0,2,29,31,2,0,0,0,0,0,0,0,0,0,5,0,2,0,8,1,1,2,9,11,267,3,27,-33,205,Austin
2019,10,2,70,2,5,9,66,10,4,7,85,92,34,0,1,5,37,3,4,1,45,46,34,2,4,4,23,4,0,6,31,37,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,3,0,0,9,9,273,0,20,-32,206,Austin
2020,10,2,71,1,5,14,85,10,3,6,109,115,40,0,1,4,50,6,1,1,60,61,24,1,4,9,28,4,2,5,41,46,0,0,0,0,2,0,0,0,2,2,7,0,0,1,5,0,0,0,6,6,291,2,23,-30,208,Austin
2021,10,2,61,3,4,12,128,11,4,7,151,158,34,2,2,10,77,4,1,4,91,95,24,1,1,2,35,6,3,2,43,45,0,0,0,0,1,0,0,0,1,1,3,0,1,0,15,1,0,1,16,17,315,1,25,-36,202,Austin
2022,10,2,59,7,5,16,49,11,8,12,76,88,22,3,1,7,24,8,2,4,39,43,28,4,4,9,22,3,6,8,34,42,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,3,3,226,5,18,-35,203,Austin
2023,10,2,64,2,4,12,58,20,1,6,90,96,28,1,3,4,27,15,1,4,46,50,32,1,1,7,28,5,0,2,40,42,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,4,4,245,2,13,-34,204,Austin
2024,10,2,61,4,4,8,60,9,6,8,77,85,31,2,1,4,33,7,0,3,44,47,27,2,2,4,18,1,6,4,23,27,1,0,0,0,2,0,0,0,2,2,2,0,1,0,7,1,0,1,8,9,234,3,16,-32,206,Austin
2012,11,2,75,2,3,19,98,5,1,5,122,127,34,0,1,12,51,1,0,1,64,65,32,2,2,7,33,3,1,4,43,47,0,0,0,0,3,0,0,0,3,3,9,0,0,0,11,1,0,0,12,12,362,6,30,-2,236,Austin
2013,11,2,92,2,6,14,97,4,1,8,115,123,27,0,3,8,45,1,0,3,54,57,59,2,3,5,43,3,1,5,51,56,1,0,0,0,1,0,0,0,1,1,5,0,0,1,8,0,0,0,9,9,325,2,20,-1,237,Austin
2014,11,2,93,1,7,11,82,7,3,8,100,108,31,1,3,6,35,2,2,4,43,47,54,0,2,4,42,4,1,2,50,52,2,0,0,1,0,0,0,0,1,1,6,0,2,0,5,1,0,2,6,8,305,4,20,0,238,Austin
2015,11,2,87,2,4,15,85,4,4,6,104,110,34,0,2,9,44,1,3,2,54,56,47,2,1,2,29,3,1,3,34,37,0,0,0,1,1,0,0,0,2,2,6,0,1,3,11,0,0,1,14,15,306,3,33,1,239,Austin
2016,11,2,70,4,5,19,62,5,1,9,86,95,30,3,1,13,36,1,1,4,50,54,30,1,3,6,18,3,0,4,27,31,1,0,0,0,0,0,0,0,0,0,9,0,1,0,8,1,0,1,9,10,264,1,27,-4,234,Austin
2017,11,2,90,3,1,8,59,4,0,4,71,75,39,1,1,4,29,2,0,2,35,37,42,2,0,3,22,2,0,2,27,29,0,0,0,0,0,0,0,0,0,0,9,0,0,1,8,0,0,0,9,9,257,1,28,-3,235,Austin
