year,month,day,calls_disorder,calls_behavior,calls_traffic,calls_gun,calls_robbery,calls_burglary,calls_aggravated_assault,calls_theft,calls_mv_theft,calls_violent,calls_property,calls_index,calls_disorder_day,calls_behavior_day,calls_traffic_day,calls_gun_day,calls_robbery_day,calls_burglary_day,calls_aggravated_assault_day,calls_theft_day,calls_mv_theft_day,calls_violent_day,calls_property_day,calls_index_day,calls_disorder_night,calls_behavior_night,calls_traffic_night,calls_gun_night,calls_robbery_night,calls_burglary_night,calls_aggravated_assault_night,calls_theft_night,calls_mv_theft_night,calls_violent_night,calls_property_night,calls_index_night,calls_disorder_is_sunrise,calls_behavior_is_sunrise,calls_traffic_is_sunrise,calls_gun_is_sunrise,calls_robbery_is_sunrise,calls_burglary_is_sunrise,calls_aggravated_assault_is_sunrise,calls_theft_is_sunrise,calls_mv_theft_is_sunrise,calls_violent_is_sunrise,calls_property_is_sunrise,calls_index_is_sunrise,calls_disorder_is_sunset,calls_behavior_is_sunset,calls_traffic_is_sunset,calls_gun_is_sunset,calls_robbery_is_sunset,calls_burglary_is_sunset,calls_aggravated_assault_is_sunset,calls_theft_is_sunset,calls_mv_theft_is_sunset,calls_violent_is_sunset,calls_property_is_sunset,calls_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city,date
2013,3,1,42,40,24,1,1,3,1,7,3,2,13,15,22,19,10,0,1,0,1,5,2,2,7,9,19,17,12,0,0,3,0,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,0,0,0,1,0,0,1,1,717,10,52,-247,-9,Hartford,2013-03-01
2014,3,1,54,26,27,0,0,2,1,10,2,1,14,15,20,12,18,0,0,1,0,8,2,0,11,11,29,10,7,0,0,1,1,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,0,0,0,1,0,0,1,1,566,4,49,-246,-8,Hartford,2014-03-01
2015,3,1,40,20,34,0,0,2,0,9,4,0,15,15,10,11,23,0,0,1,0,6,3,0,10,10,25,8,7,0,0,1,0,3,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,445,3,30,-245,-7,Hartford,2015-03-01
2016,3,1,42,50,19,1,1,2,1,18,4,2,24,26,22,29,13,0,0,2,0,15,2,0,19,19,15,15,4,1,1,0,0,2,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,0,0,0,1,1,1,1,2,3,674,6,51,-250,-12,Hartford,2016-03-01
2017,3,1,48,43,14,1,0,0,0,19,2,0,21,21,25,30,8,0,0,0,0,12,2,0,14,14,15,11,3,1,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,8,2,3,0,0,0,0,2,0,0,2,2,690,6,66,-249,-11,Hartford,2017-03-01
2018,3,1,43,40,18,3,1,5,3,6,4,4,15,19,21,24,14,1,1,4,0,4,2,1,10,11,18,11,3,1,0,1,1,2,2,1,5,6,1,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,0,0,2,0,0,2,0,2,547,3,46,-248,-10,Hartford,2018-03-01
2019,3,1,33,41,27,5,0,1,0,16,2,0,19,19,18,17,21,1,0,0,0,10,1,0,11,11,12,23,4,4,0,1,0,5,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,1,0,0,1,1,833,4,81,-247,-9,Hartford,2019-03-01
2020,3,1,27,27,10,5,2,0,0,4,0,2,4,6,10,14,6,1,1,0,0,2,0,1,2,3,15,10,3,4,0,0,0,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,1,0,1,735,7,61,-245,-7,Hartford,2020-03-01
2021,3,1,31,27,11,9,0,2,1,5,2,1,9,10,18,12,9,0,0,2,1,3,2,1,7,8,9,12,2,9,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,638,3,46,-251,-13,Hartford,2021-03-01
2022,3,1,34,34,25,6,0,0,0,14,3,0,17,17,14,22,17,0,0,0,0,11,3,0,14,14,12,5,5,5,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,8,6,3,1,0,0,0,2,0,0,2,2,423,10,42,-250,-12,Hartford,2022-03-01
2023,3,1,18,32,25,5,0,1,0,14,6,0,21,21,8,18,19,3,0,1,0,10,2,0,13,13,8,9,2,2,0,0,0,3,2,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0,2,5,3,0,0,0,0,1,2,0,3,3,460,9,38,-249,-11,Hartford,2023-03-01
2024,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartford,2024-03-01
2012,4,1,53,28,7,2,2,0,2,8,11,4,19,23,13,14,3,1,1,0,2,6,8,3,14,17,36,11,2,1,0,0,0,2,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,1,0,0,0,0,1,0,1,466,2,33,-217,21,Hartford,2012-04-01
2013,4,1,54,38,17,1,0,5,1,11,1,1,17,18,41,26,14,0,0,5,1,10,1,1,16,17,8,10,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,776,6,60,-216,22,Hartford,2013-04-01
2014,4,1,47,56,18,1,3,5,0,20,1,3,26,29,29,44,14,1,1,2,0,16,0,1,18,19,9,6,3,0,2,3,0,3,0,2,6,8,1,1,0,0,0,0,0,0,1,0,1,1,8,5,1,0,0,0,0,1,0,0,1,1,827,8,56,-215,23,Hartford,2014-04-01
2015,4,1,51,46,18,2,0,2,0,22,1,0,25,25,32,28,15,1,0,2,0,20,0,0,22,22,15,12,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,0,0,2,1,0,3,3,660,8,42,-214,24,Hartford,2015-04-01
2016,4,1,59,38,23,4,1,5,0,13,6,1,24,25,36,25,15,0,0,4,0,9,3,0,16,16,19,13,6,2,1,1,0,3,2,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,1,1,0,2,2,626,5,38,-219,19,Hartford,2016-04-01
2017,4,1,39,26,21,1,0,2,0,12,6,0,20,20,12,14,12,0,0,2,0,5,5,0,12,12,18,10,8,1,0,0,0,7,1,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0,516,6,44,-218,20,Hartford,2017-04-01
2018,4,1,35,10,9,8,1,1,2,6,5,3,12,15,12,4,5,3,1,0,1,5,3,2,8,10,22,6,4,3,0,1,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,1,1,2,331,3,18,-217,21,Hartford,2018-04-01
2019,4,1,42,56,27,2,0,0,0,7,5,0,12,12,29,44,23,1,0,0,0,7,4,0,11,11,12,6,4,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,689,1,46,-216,22,Hartford,2019-04-01
2020,4,1,34,28,6,4,0,0,0,3,0,0,3,3,16,17,4,1,0,0,0,1,0,0,1,1,13,10,2,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,840,4,68,-214,24,Hartford,2020-04-01
2021,4,1,33,25,17,4,0,1,2,6,2,2,9,11,21,18,11,3,0,0,0,6,2,0,8,8,9,6,6,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,1,1,2,716,5,64,-220,18,Hartford,2021-04-01
2022,4,1,38,55,21,5,0,1,0,10,2,0,13,13,16,43,18,1,0,1,0,7,1,0,9,9,16,9,0,4,0,0,0,3,1,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,455,11,27,-219,19,Hartford,2022-04-01
2023,4,1,34,30,19,10,0,0,3,17,3,3,20,23,15,18,9,2,0,0,0,15,1,0,16,16,13,10,10,8,0,0,3,2,1,3,3,6,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,1,1,415,3,38,-218,20,Hartford,2023-04-01
2024,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartford,2024-04-01
2012,5,1,47,55,30,4,2,1,0,15,1,2,17,19,25,37,29,4,1,0,0,11,0,1,11,12,17,11,1,0,1,0,0,3,1,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,1,0,1,0,0,2,2,768,2,59,-187,51,Hartford,2012-05-01
2013,5,1,52,44,19,3,1,2,2,11,5,3,18,21,28,32,15,1,1,2,1,10,3,2,15,17,20,5,3,2,0,0,1,1,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1,0,0,0,0,0,0,0,0,0,781,2,49,-186,52,Hartford,2013-05-01
2014,5,1,60,67,22,1,1,0,0,15,1,1,16,17,39,47,17,0,1,0,0,12,0,1,12,13,16,13,3,1,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2,0,0,0,0,1,1,0,2,2,770,4,58,-185,53,Hartford,2014-05-01
2015,5,1,57,60,23,3,2,7,0,11,1,2,19,21,30,42,22,2,1,5,0,10,0,1,15,16,18,11,0,1,1,1,0,1,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,9,7,1,0,0,1,0,0,0,0,1,1,675,1,60,-184,54,Hartford,2015-05-01
2016,5,1,43,18,14,7,1,0,0,4,1,1,5,6,18,12,7,2,1,0,0,4,0,1,4,5,23,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,1,1,411,5,21,-189,49,Hartford,2016-05-01
2017,5,1,57,39,16,8,0,2,1,14,7,1,23,24,31,31,11,2,0,2,1,10,6,1,18,19,19,4,4,4,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,2,0,0,0,2,1,0,3,3,612,6,52,-188,50,Hartford,2017-05-01
2018,5,1,44,35,18,7,0,2,3,18,2,3,22,25,30,21,13,2,0,1,1,15,1,1,17,18,11,9,4,4,0,0,0,2,1,0,3,3,0,0,0,0,0,1,0,0,0,0,1,1,3,5,1,1,0,0,2,1,0,2,1,3,612,8,37,-187,51,Hartford,2018-05-01
2019,5,1,38,63,17,3,1,2,1,11,3,2,16,18,21,44,14,0,0,2,0,7,2,0,11,11,9,10,0,2,1,0,1,4,0,2,4,6,1,0,0,0,0,0,0,0,0,0,0,0,7,9,3,1,0,0,0,0,1,0,1,1,830,2,94,-186,52,Hartford,2019-05-01
2020,5,1,37,29,14,8,1,2,1,1,3,2,6,8,21,20,10,3,0,2,0,1,1,0,4,4,15,8,4,5,1,0,0,0,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1025,7,102,-184,54,Hartford,2020-05-01
2021,5,1,70,26,15,8,0,0,1,16,3,1,19,20,47,13,11,7,0,0,1,14,3,1,17,18,19,10,2,1,0,0,0,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,648,4,56,-190,48,Hartford,2021-05-01
2022,5,1,73,22,21,15,0,6,6,10,5,6,21,27,35,17,19,8,0,5,3,8,3,3,16,19,34,2,2,5,0,0,1,1,2,1,3,4,0,1,0,1,0,1,0,0,0,0,1,1,4,2,0,1,0,0,2,1,0,2,1,3,375,4,29,-189,49,Hartford,2022-05-01
2023,5,1,25,53,19,6,0,0,0,11,5,0,16,16,16,40,15,2,0,0,0,10,5,0,15,15,6,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,1,0,0,1,1,461,2,47,-188,50,Hartford,2023-05-01
2024,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartford,2024-05-01
