year,month,day,crime_disorder,crime_robbery,crime_aggravated_assault,crime_burglary,crime_mv_theft,crime_theft,crime_gun,crime_violent,crime_property,crime_index,crime_disorder_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_mv_theft_day,crime_theft_day,crime_gun_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_mv_theft_night,crime_theft_night,crime_gun_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_mv_theft_is_sunrise,crime_theft_is_sunrise,crime_gun_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_mv_theft_is_sunset,crime_theft_is_sunset,crime_gun_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2017,3,1,0,0,0,0,0,10,1,0,10,10,0,0,0,0,0,6,0,0,6,6,0,0,0,0,0,3,1,0,3,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,124,2,12,-249,-11,Hartford
2018,3,1,0,0,4,5,0,5,2,4,10,14,0,0,1,4,0,2,1,1,6,7,0,0,1,0,0,3,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,1,3,108,0,15,-248,-10,Hartford
2019,3,1,0,1,1,1,2,11,4,2,14,16,0,0,1,0,2,3,1,1,5,6,0,1,0,1,0,7,3,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,129,0,9,-247,-9,Hartford
2020,3,1,0,1,2,0,0,5,4,3,5,8,0,0,1,0,0,1,0,1,1,2,0,0,1,0,0,4,4,1,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,84,0,6,-245,-7,Hartford
2021,3,1,0,0,2,3,0,7,7,2,10,12,0,0,1,2,0,1,0,1,3,4,0,0,0,0,0,6,7,0,6,6,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,101,2,5,-251,-13,Hartford
2022,3,1,14,0,0,1,0,6,0,0,7,7,10,0,0,1,0,6,0,0,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,124,0,13,-250,-12,Hartford
2023,3,1,8,0,2,0,3,7,0,2,10,12,4,0,0,0,1,5,0,0,6,6,3,0,2,0,1,1,0,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,2,80,0,11,-249,-11,Hartford
2024,3,1,27,0,0,3,4,5,3,0,12,12,18,0,0,2,3,5,0,0,10,10,5,0,0,1,1,0,3,0,2,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,123,3,3,-247,-9,Hartford
2012,4,1,0,3,2,0,0,7,1,5,7,12,0,1,1,0,0,2,0,2,2,4,0,2,1,0,0,4,1,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,79,0,3,-217,21,Hartford
2013,4,1,0,1,1,1,0,8,1,2,9,11,0,1,1,1,0,7,0,2,8,10,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,1,7,-216,22,Hartford
