year,month,day,crime_disorder,crime_gun,crime_robbery,crime_aggravated_assault,crime_burglary,crime_theft,crime_mv_theft,crime_violent,crime_property,crime_index,crime_disorder_day,crime_gun_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_theft_day,crime_mv_theft_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_gun_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_theft_night,crime_mv_theft_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_gun_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_theft_is_sunrise,crime_mv_theft_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_gun_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_theft_is_sunset,crime_mv_theft_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2019,3,1,34,5,2,6,3,77,25,8,105,113,11,0,0,3,1,18,8,3,27,30,22,5,2,2,2,56,16,4,74,78,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,1,4,5,263,0,15,-247,-9,New Orleans
2020,3,1,47,3,3,7,4,35,37,10,76,86,27,0,1,3,0,16,14,4,30,34,16,2,2,3,3,15,22,5,40,45,0,0,0,0,1,0,0,0,1,1,4,1,0,1,0,4,1,1,5,6,196,1,17,-245,-7,New Orleans
2021,3,1,51,3,4,7,9,22,19,11,50,61,21,2,1,4,3,18,9,5,30,35,25,1,3,3,6,4,9,6,19,25,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,1,175,0,8,-251,-13,New Orleans
2022,3,1,42,11,2,3,6,41,29,5,76,81,17,6,1,1,3,20,10,2,33,35,22,4,1,1,3,19,16,2,38,40,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,2,3,1,5,6,206,0,11,-250,-12,New Orleans
2023,3,1,33,1,0,6,5,16,31,6,52,58,18,1,0,3,4,9,12,3,25,28,14,0,0,2,1,7,16,2,24,26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,3,4,170,0,9,-249,-11,New Orleans
2024,3,1,37,2,1,2,1,33,25,3,59,62,18,2,1,1,0,13,9,2,22,24,16,0,0,1,1,18,16,1,35,36,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,2,159,2,6,-247,-9,New Orleans
2012,4,1,39,0,2,3,6,40,16,5,62,67,15,0,1,1,3,20,8,2,31,33,21,0,0,2,3,19,7,2,29,31,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,1,2,3,186,0,8,-217,21,New Orleans
2013,4,1,27,2,3,0,5,46,14,3,65,68,16,2,0,0,4,32,6,0,42,42,11,0,3,0,1,13,8,3,22,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,198,0,13,-216,22,New Orleans
2014,4,1,37,3,2,1,3,24,14,3,41,44,22,2,0,0,3,17,1,0,21,21,13,1,2,1,0,5,10,3,15,18,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,2,2,0,4,4,226,1,11,-215,23,New Orleans
2015,4,1,33,1,3,2,7,40,15,5,62,67,13,1,1,1,3,30,7,2,40,42,17,0,1,0,4,8,7,1,19,20,0,0,1,0,0,0,1,1,1,2,3,0,0,1,0,2,0,1,2,3,170,2,9,-214,24,New Orleans
2016,4,1,37,0,4,1,7,33,13,5,53,58,24,0,1,1,1,17,3,2,21,23,11,0,3,0,5,12,10,3,27,30,0,0,0,0,0,1,0,0,1,1,2,0,0,0,1,3,0,0,4,4,139,3,9,-219,19,New Orleans
2017,4,1,42,0,6,8,4,39,9,14,52,66,16,0,4,3,2,25,1,7,28,35,22,0,2,4,2,12,8,6,22,28,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,1,2,3,174,0,12,-218,20,New Orleans
2018,4,1,65,6,6,9,4,31,18,15,53,68,25,4,2,5,3,17,8,7,28,35,33,1,4,3,1,13,9,7,23,30,1,0,0,0,0,0,1,0,1,1,6,1,0,1,0,1,0,1,1,2,205,2,13,-217,21,New Orleans
2019,4,1,41,5,6,3,2,32,21,9,55,64,25,3,4,3,0,26,10,7,36,43,13,2,2,0,2,5,10,2,17,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,2,2,193,0,13,-216,22,New Orleans
2020,4,1,33,1,0,9,8,19,12,9,39,48,18,0,0,7,5,13,5,7,23,30,12,1,0,2,3,5,6,2,14,16,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2,2,147,1,10,-214,24,New Orleans
2021,4,1,34,1,2,5,3,25,31,7,59,66,21,1,0,3,1,22,19,3,42,45,13,0,1,2,2,2,10,3,14,17,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,3,3,162,1,9,-220,18,New Orleans
2022,4,1,41,1,4,3,5,28,37,7,70,77,26,1,2,2,2,14,11,4,27,31,14,0,1,1,3,14,21,2,38,40,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,1,5,6,169,0,8,-219,19,New Orleans
2023,4,1,45,3,2,6,2,37,42,8,81,89,19,2,2,4,0,19,8,6,27,33,20,1,0,2,1,16,33,2,50,52,1,0,0,0,0,1,1,0,2,2,5,0,0,0,1,1,0,0,2,2,187,3,9,-218,20,New Orleans
2024,4,1,41,3,0,8,5,39,12,8,56,64,25,2,0,5,3,27,5,5,35,40,12,1,0,2,2,10,7,2,19,21,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,1,2,3,162,0,11,-216,22,New Orleans
2012,5,1,28,1,3,3,7,31,10,6,48,54,18,1,1,1,5,23,2,2,30,32,9,0,2,1,2,6,8,3,16,19,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,2,225,2,12,-187,51,New Orleans
2013,5,1,23,4,3,1,10,35,11,4,56,60,10,3,1,0,5,24,4,1,33,34,10,1,2,0,5,10,7,2,22,24,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,1,1,2,197,2,10,-186,52,New Orleans
2014,5,1,36,0,1,2,12,27,11,3,50,53,22,0,0,2,9,15,5,2,29,31,11,0,1,0,3,9,4,1,16,17,1,0,0,0,0,2,0,0,2,2,2,0,0,0,0,1,2,0,3,3,177,3,10,-185,53,New Orleans
2015,5,1,36,2,3,1,5,19,17,4,41,45,16,1,1,1,4,9,7,2,20,22,16,1,2,0,1,6,10,2,17,19,1,0,0,0,0,1,0,0,1,1,3,0,0,0,0,3,0,0,3,3,144,2,12,-184,54,New Orleans
