year,month,day,crime_disorder,crime_robbery,crime_aggravated_assault,crime_burglary,crime_theft,crime_mv_theft,crime_gun,crime_violent,crime_property,crime_index,crime_disorder_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_theft_day,crime_mv_theft_day,crime_gun_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_theft_night,crime_mv_theft_night,crime_gun_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_theft_is_sunrise,crime_mv_theft_is_sunrise,crime_gun_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_theft_is_sunset,crime_mv_theft_is_sunset,crime_gun_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2022,12,1,43,0,8,11,88,13,1,8,112,120,12,0,4,5,43,4,1,4,52,56,23,0,4,6,35,9,0,4,50,54,1,0,0,0,1,0,0,0,1,1,7,0,0,0,9,0,0,0,9,9,268,3,24,25,263,Austin
2023,12,1,50,2,5,18,78,15,3,7,111,118,15,1,1,3,36,9,1,2,48,50,31,1,4,15,36,5,2,5,56,61,0,0,0,0,1,1,0,0,2,2,4,0,0,0,5,0,0,0,5,5,278,3,15,26,264,Austin
2024,12,1,45,1,6,11,60,11,2,7,82,89,16,0,1,7,23,4,0,1,34,35,25,1,4,4,30,5,2,5,39,44,0,0,0,0,1,2,0,0,3,3,4,0,1,0,6,0,0,1,6,7,248,4,15,28,266,Austin
2012,1,2,93,4,3,22,79,6,0,7,107,114,30,0,1,7,32,3,0,1,42,43,52,3,1,11,34,2,0,4,47,51,0,0,0,0,0,0,0,0,0,0,11,1,1,4,13,1,0,2,18,20,293,1,37,-307,-69,Austin
2013,1,2,75,2,3,18,94,10,2,5,122,127,30,1,1,12,45,8,1,2,65,67,41,0,2,5,40,2,0,2,47,49,0,0,0,0,0,0,0,0,0,0,4,1,0,1,9,0,1,1,10,11,293,0,25,-305,-67,Austin
2014,1,2,81,0,1,18,79,7,4,1,104,105,30,0,1,7,36,1,3,1,44,45,42,0,0,10,34,4,1,0,48,48,2,0,0,1,0,0,0,0,1,1,7,0,0,0,9,2,0,0,11,11,294,3,25,-304,-66,Austin
2015,1,2,69,4,5,27,71,6,0,9,104,113,27,2,2,15,37,4,0,4,56,60,30,2,3,8,25,0,0,5,33,38,1,0,0,1,0,1,0,0,2,2,11,0,0,3,9,1,0,0,13,13,263,3,31,-303,-65,Austin
2016,1,2,85,5,7,6,53,3,0,12,62,74,33,1,2,5,24,1,0,3,30,33,49,4,5,1,25,2,0,9,28,37,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,4,4,264,1,14,-309,-71,Austin
2017,1,2,80,2,3,11,72,4,2,5,87,92,32,0,1,1,31,2,0,1,34,35,44,2,1,10,30,2,2,3,42,45,0,0,0,0,0,0,0,0,0,0,4,0,1,0,11,0,0,1,11,12,275,1,26,-307,-69,Austin
2018,1,2,59,5,2,14,49,5,2,7,68,75,25,1,0,9,28,1,0,1,38,39,31,4,1,4,16,2,2,5,22,27,1,0,0,1,0,0,0,0,1,1,2,0,1,0,5,2,0,1,7,8,217,3,14,-306,-68,Austin
