city,year,month,day,temperature_sunrise,precipitation_sunrise,humidity_sunrise,visibility_sunrise,temperature_sunset,precipitation_sunset,humidity_sunset,visibility_sunset
Austin,2012,6,4,24.55,0,85.45,16069.75,30.55,0,57.64,16069.75
Austin,2012,6,5,24.97,0,82.9,16069.75,33.02,0,46.26,16069.75
Austin,2012,6,6,24.88,0,76.78,16069.75,34.15,0,39.43,16069.75
Austin,2012,6,7,25.15,0,76.69,16069.75,30.3,0,48.38,16069.75
Austin,2012,6,8,23.54,0,80.15,16077.5,27.75,0.3,61.7,14460.75
Austin,2012,6,9,20.7,0,87.1,16069.75,32.35,0,46.01,16069.75
Austin,2012,6,10,23.62,0,81.92,16069.75,33.33,0,52.11,16069.75
Austin,2012,6,11,26.35,0,84.99,14200.33,35.7,0,43.04,16069.75
Austin,2012,6,12,26.4,0,83.24,13656.25,34.85,0,45.85,14863
Austin,2012,6,13,20.88,0,87.18,16069.75,31.92,0,53.46,16069.75
Austin,2012,6,14,25.12,0,82.82,16069.75,33.33,0,48.71,16069.75
Austin,2012,6,15,25.45,0,83.59,16077.5,33.62,0,45.13,16069.75
Austin,2012,6,16,24.58,0,84.87,16069.75,33.62,0,41.65,16069.75
Austin,2012,6,17,24.3,0,79.59,16069.75,33.08,0,43.46,16069.75
Austin,2012,6,18,25.42,0,67.79,16069.75,32.77,0,43.7,16069.75
Austin,2012,6,19,24.6,0,83.71,16069.75,31.15,0,54.54,16077.5
Austin,2012,6,20,26.08,0,82.35,16077.5,30.13,0,57.91,16077.5
Austin,2012,6,21,23.17,0,91.22,15265.25,33.05,0,42.68,16069.75
Austin,2012,6,22,22.12,0,83.88,16069.75,34.58,0,31.95,16069.75
Austin,2012,6,23,24.42,0,71,16069.75,34.88,0,29.62,16069.75
Austin,2012,6,24,25.12,0,72.89,16069.75,36.38,0,33.66,16069.75
Austin,2012,6,25,24.7,0,72.79,16069.75,38.45,0,25.53,16069.75
Austin,2012,6,26,24.82,0,61.79,16069.75,39.45,0,25.94,14863
Austin,2012,6,27,25.25,0,75.61,16093,38.6,0,31.56,16093
Austin,2012,6,28,25.52,0,63.83,16069.75,35.6,0,33.31,16069.75
Austin,2012,6,29,27.08,0,71.05,16069.75,32.38,0,46.21,16069.75
Austin,2012,6,30,24.27,0,82.74,16069.75,32.62,0,47.87,16069.75
